1,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED,2023-10-23,1407,13600 LEGACY CIR,HERNDON,VA,20171
1,LARC-23-9,LARCENY -  ALL OTHER LARCENY,2023-10-23,1510,6500 WHEAT MILL WAY,CENTREVILLE,VA,20121
1,LARC-23-9,LARCENY -  ALL OTHER LARCENY,2023-10-23,1444,13800 METROTECH DR,CHANTILLY,VA,20151
1,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED,2023-10-23,1349,2900 ARLINGTON DR,ALEXANDRIA,VA,22306
3,DRUNK-90Z-1,DRUNK - DRUNK/PROFANE IN PUBLIC,2023-10-23,1349,2900 ARLINGTON DR,ALEXANDRIA,VA,22306
2,LARC-23-3,LARCENY - SHOPLIFTING,2023-10-23,1349,2900 ARLINGTON DR,ALEXANDRIA,VA,22306
4,PUB-90Z-6,PUBLIC SAFETY - OBSTRUCTION OF JUSTICE,2023-10-23,1349,2900 ARLINGTON DR,ALEXANDRIA,VA,22306
1,SUSP-1,SUSPICIOUS - EVENT,2023-10-23,1455,4900 STONECROFT BLVD,CHANTILLY,VA,20120
1,LARC-23-4,LARCENY - THEFT FROM BUILDING,2023-10-23,1516,6200 LITTLE RIVER TPKE,ALEXANDRIA,VA,22312
1,DEST-290-2,DESTRUCTION - PRIVATE PROPERTY,2023-10-23,1506,6200 HARBIN DR,ALEXANDRIA,VA,22310
1,LARC-23-9,LARCENY -  ALL OTHER LARCENY,2023-10-23,1440,6400 BRANDON AVE,SPRINGFIELD,VA,22150
1,SERV-8,SERVICE - LOST/FOUND PROPERTY,2023-10-23,1526,8000 WESTPARK DR,MCLEAN,VA,22102
1,SUSP-1,SUSPICIOUS - EVENT,2023-10-23,1423,2300 TODDSBURY PL,RESTON,VA,20191
1,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED,2023-10-23,1529,5900 HAVENER HOUSE WAY,CENTREVILLE,VA,20120
1,WARR-90Z-4,WARRANT - WARRANT SERVICE,2023-10-23,1512,10500 JUDICIAL DR,FAIRFAX,VA,22030
1,LARC-23-3,LARCENY - SHOPLIFTING,2023-10-23,1352,6600 RICHMOND HWY,ALEXANDRIA,VA,22306
2,TRES-90J-1,TRESPASSING - PRIVATE PROPERTY,2023-10-23,1352,6600 RICHMOND HWY,ALEXANDRIA,VA,22306
1,SERV-8,SERVICE - LOST/FOUND PROPERTY,2023-10-23,1620,2500 PARKERS LN,ALEXANDRIA,VA,22306
1,ANML-90Z-1,ANIMAL - RUNNING AT LARGE/UNRESTRICTED,2023-10-23,1556,7200 PARKWOOD CT,FALLS CHURCH,VA,22042
2,ANML-90Z-3,ANIMAL - LICENSE VIOLATION,2023-10-23,1556,7200 PARKWOOD CT,FALLS CHURCH,VA,22042
1,SERV-1,SERVICE - POLICE SERVICE,2023-10-23,1532,6600 MAYFAIR DR,FALLS CHURCH,VA,22042
1,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED,2023-10-23,1443,9500 SAINTSBURY DR,FAIRFAX,VA,22031
2,PUB-90Z-6,PUBLIC SAFETY - OBSTRUCTION OF JUSTICE,2023-10-23,1443,9500 SAINTSBURY DR,FAIRFAX,VA,22031
1,LARC-23-3,LARCENY - SHOPLIFTING,2023-10-23,1559,4400 CHANTILLY SHOPPING CTR,CHANTILLY,VA,20151
1,ANML-3,ANIMAL - SERVICE - DOMESTIC,2023-10-23,1643,6600 LITTLE RIVER TPKE,ALEXANDRIA,VA,22312
1,SERV-33,SERVICE - NON DMV REPORTABLE CRASH,2023-10-23,1642, CENTER WAY / SETTLE CT,FAIRFAX,VA,22033
1,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED,2023-10-23,1452,8200 FRESNO LN,ALEXANDRIA,VA,22309
1,DEST-290-2,DESTRUCTION - PRIVATE PROPERTY,2023-10-23,1610,8500 LEESBURG PIKE,VIENNA,VA,22182
1,OTHER-90Z-2,OTHER OFFENSE - AGAINST PROPERTY,2023-10-23,1457,6700 ARLINGTON BLVD,FALLS CHURCH,VA,22042
1,LARC-23-3,LARCENY - SHOPLIFTING,2023-10-23,1648,5800 KINGSTOWNE BLVD,ALEXANDRIA,VA,22315
2,LARC-23-11,LARCENY - CHECKS; CREDIT CARDS; BANK NOTES; ETC.,2023-10-23,1648,5800 KINGSTOWNE BLVD,ALEXANDRIA,VA,22315
1,SERV-5,SERVICE - ANIMAL DESTROYED BY CHEMICAL,2023-10-23,1628,1100 WESTMORELAND RD,ALEXANDRIA,VA,22308
1,ANML-3,ANIMAL - SERVICE - DOMESTIC,2023-10-23,1539,2000 HUNTINGTON AVE,ALEXANDRIA,VA,22303
1,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED,2023-10-23,1630,13300 PARCHER AVE,HERNDON,VA,20170
